id,week,center_id,meal_id,checkout_price,base_price,emailer_for_promotion,homepage_featured,num_orders
1342806,1,149,1885,116.43,118.37,0,1,568
1049587,1,149,1993,119.37,121.25,0,1,513
1249580,1,149,2539,114.52,122.25,0,1,204
1380598,1,149,2139,388.03,387.03,0,0,14
1293510,1,149,2631,252.23,253.23,0,0,26
1035355,1,149,1248,246.41,247.41,0,0,40
1304985,1,149,1778,160.11,160.11,0,0,149
1405843,1,149,1062,159.14,158.14,0,0,365
1341382,1,149,2707,183.39,215.4,0,0,256
1076395,1,149,1207,307.49,309.49,0,0,161
1442983,1,149,1230,315.25,316.25,0,0,108
1045407,1,149,2322,310.4,311.4,0,0,67
1000473,1,149,2290,310.43,309.43,0,0,189
1157304,1,149,1727,146.5,425.83,0,0,108
1164650,1,149,1109,289.12,288.12,0,0,177
1242804,1,149,2640,241.53,242.53,0,0,81
1058087,1,149,1878,242.53,241.53,0,0,82
1363454,1,149,2306,243.5,339.53,0,1,80
1195311,1,149,1216,388.03,466.63,0,0,40
1025290,1,149,2126,436.5,436.5,0,1,27
1403057,1,149,2826,327.86,327.86,0,0,41
1132852,1,149,1754,291.03,290.03,0,0,136
1232259,1,149,1971,259.99,292.03,1,0,338
1174287,1,149,1902,486.03,485.03,0,0,15
1399061,1,149,1247,484.03,484.03,0,0,13
1329824,1,149,1558,582.03,612.13,1,0,67
1181435,1,149,2581,581.03,610.13,1,0,150
1186268,1,149,1962,581.03,610.13,1,0,27
1172198,1,149,2444,660.63,659.63,0,0,40
1382334,1,149,2760,232.83,231.83,0,0,95
1349265,1,149,1525,244.5,282.33,0,0,40
1089903,1,149,2704,243.5,281.33,0,0,41
1499086,1,149,2492,446.23,446.23,0,0,13
1491527,1,149,1543,504.43,504.43,0,0,68
1228362,1,149,2304,503.43,505.43,0,0,14
1287683,2,149,1885,96.06,119.37,1,1,702
1391161,2,149,1993,97.06,123.25,1,1,1014
1095463,2,149,2539,97,122.25,1,1,243
1361016,2,149,2631,99,251.23,1,1,298
1156877,2,149,1248,94.12,245.41,1,1,162
1301402,2,149,1778,178.54,177.54,0,0,177
1022088,2,149,1062,173.63,174.63,0,0,243
1408628,2,149,2707,190.12,214.4,0,0,284
1269070,2,149,1207,314.28,315.28,0,0,230
1106309,2,149,1230,311.37,311.37,0,0,109
1328299,2,149,2322,325.98,325.98,0,0,53
1238811,2,149,2290,309.43,309.43,0,0,204
1455231,2,149,1727,425.83,425.83,0,0,55
1467386,2,149,1109,258.99,287.12,1,0,283
1006802,2,149,2640,243.53,243.53,0,0,54
1436073,2,149,1878,243.53,243.53,0,0,53
1072647,2,149,2306,243.5,340.53,0,0,55
1485400,2,149,1216,387.03,464.63,0,0,27
1023212,2,149,2126,437.5,436.5,0,1,41
1062491,2,149,2826,328.86,328.86,0,0,27
1098704,2,149,1754,272.63,272.63,0,0,243
1353307,2,149,1971,260.99,290.03,1,0,257
1207033,2,149,1902,485.03,485.03,0,0,13
1312674,2,149,1558,581.03,610.13,1,0,41
1443482,2,149,2581,583.03,610.13,1,0,42
1422338,2,149,1962,583.03,612.13,1,0,68
1443040,2,149,2760,232.83,231.83,0,0,15
1211710,2,149,2704,242.5,280.33,0,0,26
1387242,2,149,2492,445.23,446.23,0,0,41
1150922,2,149,1543,504.43,503.43,0,0,26
1106951,3,149,1885,95.06,119.37,0,0,243
1128831,3,149,1993,96.06,122.25,0,0,338
1383123,3,149,2539,95.06,122.25,0,0,109
1349440,3,149,2631,99,251.23,0,1,108
1375378,3,149,1248,96.09,247.41,0,1,148
1113568,3,149,1778,176.6,175.6,0,0,148
1067503,3,149,1062,176.54,178.54,0,0,312
1045508,3,149,2707,188.24,214.4,0,0,285
1259275,3,149,1207,311.4,312.4,0,0,94
1411470,3,149,1230,323.01,323.01,0,0,54
1008718,3,149,2322,319.13,319.13,0,0,94
1198147,3,149,2290,309.43,311.43,0,0,244
1256502,3,149,1727,425.83,425.83,0,0,163
1473907,3,149,1109,309.43,311.43,0,0,215
1078264,3,149,2640,243.53,243.53,0,0,82
1162164,3,149,1878,241.53,241.53,0,0,94
1290414,3,149,2306,243.5,243.5,0,0,95
1118186,3,149,1216,388.03,387.03,0,0,41
1439816,3,149,2126,437.5,437.5,0,1,27
1396775,3,149,2826,329.86,327.86,0,0,55
1246762,3,149,1754,291.03,292.03,0,0,121
1143815,3,149,1971,291.03,291.03,0,0,177
1426282,3,149,1558,612.13,611.13,0,0,42
1158453,3,149,2581,612.13,612.13,0,0,40
1465072,3,149,1962,610.13,612.13,0,0,82
1412178,3,149,2444,660.63,658.63,0,0,28
1362135,3,149,2760,232.83,232.83,0,0,26
1198049,3,149,1525,243.5,280.33,0,0,15
1179867,3,149,2704,244.5,280.33,0,0,54
1075731,3,149,2492,447.23,445.23,0,0,14
1030752,3,149,1543,503.43,505.43,0,0,53
1253733,3,149,2304,504.43,505.43,0,0,42
1416811,4,149,1885,117.37,117.37,0,0,325
1374560,4,149,1993,118.4,118.4,0,0,94
1232584,4,149,2539,119.37,118.37,0,0,81
1239192,4,149,2139,432.62,432.62,0,0,27
1382912,4,149,2631,95.06,252.23,0,1,53
1070897,4,149,1248,94.09,247.41,0,1,27
1346264,4,149,1778,175.57,176.57,0,0,135
1417795,4,149,1062,171.69,172.69,0,0,150
1004430,4,149,2707,188.24,214.4,0,0,312
1461115,4,149,1207,325.01,325.01,0,0,67
1362734,4,149,1230,322.1,322.1,0,0,136
1342172,4,149,2322,321.1,322.1,0,0,109
1466992,4,149,2290,310.43,310.43,0,0,230
1489026,4,149,1727,426.83,425.83,0,0,215
1101197,4,149,1109,311.43,310.43,0,0,283
1289543,4,149,2640,243.53,242.53,0,0,94
1049405,4,149,1878,241.53,241.53,0,0,96
1098445,4,149,2306,242.5,243.5,0,0,54
1395395,4,149,1216,417.13,416.13,0,0,14
1412693,4,149,2126,437.5,437.5,0,0,27
1256920,4,149,2826,327.86,328.86,0,0,55
1013773,4,149,1754,292.03,291.03,0,0,122
1032403,4,149,1971,291.03,292.03,0,0,122
1249916,4,149,1902,484.03,485.03,0,0,26
1252640,4,149,1247,484.03,484.03,0,0,13
1078306,4,149,1558,611.13,612.13,0,0,26
1242218,4,149,2581,610.13,611.13,0,0,136
1203174,4,149,1962,612.13,610.13,0,0,82
1222400,4,149,2444,659.63,659.63,0,0,28
1139088,4,149,2760,233.83,232.83,0,0,41
1080270,4,149,2704,250.29,280.33,0,0,81
1379183,4,149,2492,445.23,445.23,0,0,69
1059183,4,149,1543,503.43,503.43,0,0,26
1057901,4,149,2304,503.43,504.43,0,0,15
1465447,5,149,1885,120.31,121.31,0,0,283
1062189,5,149,1993,119.34,120.34,0,0,339
1050436,5,149,2539,122.25,121.25,0,0,123
1444347,5,149,2631,98,252.23,0,1,80
1404436,5,149,1248,88.3,247.41,0,1,27
1315558,5,149,1778,181.42,181.42,0,0,95
1059184,5,149,1062,168.78,169.78,0,0,351
1445114,5,149,2707,186.27,215.4,0,0,217
1063948,5,149,1207,301.73,301.73,0,0,55
1232411,5,149,1230,321.13,320.13,0,0,107
1106557,5,149,2322,310.43,310.43,0,0,177
1344005,5,149,2290,162.05,310.43,1,1,3456
1306566,5,149,1727,241.53,427.83,1,1,501
1084406,5,149,1109,65.96,311.43,0,0,188
1115512,5,149,2577,243.53,241.53,0,0,13
1121491,5,149,2640,243.53,241.53,0,0,67
1138923,5,149,1878,241.53,241.53,0,0,40
1329804,5,149,1216,418.13,417.13,0,0,27
1417449,5,149,2126,438.5,436.5,0,0,15
1417700,5,149,2826,329.86,329.86,0,0,42
1162463,5,149,1754,290.03,290.03,0,0,80
1003167,5,149,1971,290.03,291.03,0,0,26
1478815,5,149,1902,485.03,484.03,0,0,14
1015301,5,149,1247,485.03,486.03,0,0,27
1404074,5,149,1558,617.92,617.92,0,0,28
1320281,5,149,2581,615.98,615.98,0,0,28
1331583,5,149,1962,613.07,613.07,0,0,68
1408897,5,149,2444,484.03,660.63,1,0,15
1399925,5,149,2760,233.83,233.83,0,0,42
1091214,5,149,1525,282.33,280.33,0,0,14
1108548,5,149,2704,280.33,282.33,0,0,69
1132791,5,149,2492,445.23,447.23,0,0,27
1389110,5,149,1543,503.43,503.43,0,0,27
1482466,5,149,2304,437.5,504.43,0,0,15
1314857,6,149,1885,122.28,122.28,0,0,297
1494768,6,149,1993,120.34,119.34,0,0,270
1401652,6,149,2539,120.28,122.28,0,0,135
1060819,6,149,2139,455.93,456.93,0,0,15
1103269,6,149,2631,249.32,249.32,0,0,28
1258851,6,149,1248,235.74,234.74,0,0,13
1366423,6,149,1778,151.38,180.42,0,0,161
1481403,6,149,1062,151.32,151.32,0,0,379
1252228,6,149,2707,219.22,219.22,0,0,149
1275400,6,149,1207,315.28,316.28,0,0,177
1151242,6,149,1230,317.22,316.22,0,0,122
1067060,6,149,2322,323.98,324.98,0,0,80
1009317,6,149,2290,160.08,309.43,0,1,2038
1362708,6,149,1727,242.53,425.83,1,1,648
1117939,6,149,1109,138.74,309.43,0,0,122
1005808,6,149,2640,243.53,242.53,0,0,96
1004932,6,149,1878,242.53,243.53,0,0,55
1460091,6,149,2306,244.5,243.5,0,0,68
1263597,6,149,1216,417.13,418.13,0,0,15
1348471,6,149,2826,328.86,329.86,0,0,96
1317332,6,149,1754,212.49,292.03,0,0,136
1326335,6,149,1971,292.03,291.03,0,0,96
1223385,6,149,1902,485.03,484.03,0,0,15
1095933,6,149,1558,619.83,620.83,0,0,41
1147492,6,149,2581,619.83,620.83,0,0,80
1291194,6,149,1962,621.83,621.83,0,0,41
1083625,6,149,2444,486.03,659.63,0,0,67
1422149,6,149,2760,232.83,232.83,0,0,42
1209882,6,149,2704,282.33,281.33,0,0,14
1231941,6,149,2492,446.23,447.23,0,0,13
1321811,6,149,1543,436.5,504.43,1,1,69
1327110,6,149,2304,438.5,505.43,1,0,108
1414148,7,149,1885,117.37,119.37,0,0,217
1257894,7,149,1993,115.43,115.43,0,0,351
1305130,7,149,2539,116.4,116.4,0,0,82
1179464,7,149,2139,440.41,440.41,0,0,40
1055985,7,149,2631,261.93,262.93,0,0,13
1387893,7,149,1248,261.93,260.93,0,0,42
1048099,7,149,1778,160.11,182.42,0,0,163
1067851,7,149,1062,158.17,156.17,0,0,769
1129212,7,149,2707,213.4,215.4,0,0,161
1216890,7,149,1207,307.49,307.49,0,0,107
1395155,7,149,1230,318.22,317.22,0,0,175
1090857,7,149,2322,316.28,315.28,0,0,95
1042560,7,149,2290,161.02,310.43,1,1,2429
1440322,7,149,1727,426.83,425.83,0,0,94
1198657,7,149,1109,233.83,311.43,0,0,271
1088364,7,149,2577,241.53,243.53,0,0,27
1113031,7,149,2640,241.53,242.53,0,0,94
1397685,7,149,1878,243.53,243.53,0,0,82
1193423,7,149,2306,293,292,0,0,27
1112407,7,149,1216,358.9,416.13,0,0,26
1258611,7,149,2826,328.86,328.86,0,0,108
1218855,7,149,1754,259.02,292.03,0,0,108
1415122,7,149,1971,290.03,290.03,0,0,53
1119726,7,149,1558,620.83,620.83,0,0,80
1410759,7,149,2581,621.83,621.83,0,0,109
1146577,7,149,1962,620.83,621.83,0,0,96
1231787,7,149,2444,659.63,659.63,0,0,27
1173176,7,149,2760,232.83,231.83,0,0,42
1268022,7,149,1525,280.33,280.33,0,0,15
1105907,7,149,2704,281.33,280.33,0,0,53
1130395,7,149,2492,446.23,447.23,0,0,15
1157188,7,149,1543,436.5,503.43,1,1,53
1470457,7,149,2304,437.5,503.43,1,0,27
1114963,8,149,1885,96.03,119.37,1,1,393
1316852,8,149,1993,96.06,115.43,1,0,501
1295596,8,149,2539,97.03,117.4,1,0,188
1339680,8,149,2631,252.2,253.2,0,0,41
1485595,8,149,1248,242.53,243.53,0,0,54
1230249,8,149,1778,159.14,181.42,0,0,96
1445979,8,149,1062,154.26,153.26,0,0,337
1334958,8,149,2707,215.34,217.34,0,0,189
1169686,8,149,1207,313.34,314.34,0,0,150
1285352,8,149,1230,311.4,312.4,0,0,69
1075403,8,149,2322,325.01,323.01,0,0,28
1236610,8,149,2290,161.02,309.43,0,1,960
1032085,8,149,1727,426.83,427.83,0,0,108
1385451,8,149,1109,124.16,310.43,0,0,134
1485655,8,149,2577,241.53,241.53,0,0,41
1201616,8,149,2640,242.53,242.53,0,0,94
1209277,8,149,1878,241.53,241.53,0,0,67
1473643,8,149,2306,242.5,293,1,1,95
1111789,8,149,1216,340.5,416.13,1,1,53
1169826,8,149,2126,486.03,485.03,0,0,68
1255542,8,149,2826,329.86,329.86,0,0,96
1441638,8,149,1754,290.03,291.03,0,0,190
1316024,8,149,1971,290.03,292.03,0,0,123
1104233,8,149,1558,614.07,612.07,0,0,26
1055510,8,149,2581,611.13,611.13,0,0,41
1028690,8,149,1962,607.22,608.22,0,0,40
1046077,8,149,1445,660.63,659.63,0,0,15
1441742,8,149,2444,660.63,659.63,0,0,14
1167329,8,149,2760,232.83,232.83,0,0,26
1266430,8,149,1525,280.33,281.33,0,0,81
1020771,8,149,2704,280.33,281.33,0,0,68
1472206,8,149,2492,446.23,447.23,0,0,13
1232745,8,149,1543,438.5,505.43,0,1,41
1048273,8,149,2304,437.5,505.43,0,0,14
1297986,9,149,1885,122.28,122.28,0,0,350
1269563,9,149,1993,118.34,118.34,0,0,351
1050160,9,149,2539,120.34,119.34,0,0,54
1255783,9,149,2139,455.93,455.93,0,0,15
1440177,9,149,2631,261.93,261.93,0,0,15
1492695,9,149,1248,254.14,255.14,0,0,55
1464577,9,149,1778,153.26,182.42,0,0,204
1492075,9,149,1062,148.41,149.41,0,0,230
1062863,9,149,2707,225.07,224.07,0,0,161
1325757,9,149,1207,325.98,323.98,0,0,80
1401567,9,149,1230,311.4,310.4,0,0,55
1436784,9,149,2322,314.31,313.31,0,0,69
